Stephen Lee,11,107,2,98
Robin McKie,91,50979,1923,14001
Suzanne Moore,49,18082,227,7188
Lauren,1,0,0,9
Guardian Government Computing,185,286,49,1284
Amanda Marcotte,9,1533,15,528
Paul Weaver,179,3571,116,4611
Abi Morgan,2,14,0,26
Alan Wilson,2,166,5,64
Julie Myerson,7,508,8,161
Dominic Lutyens,2,70,0,19
Interviews by Leo Benedictus,1,29,2,18
Colin Horgan,56,2601,33,621
Alan Connor,87,1616,33,1339
Chris Michael,13,1834,20,727
BlueVia,7,161,5,417
Donald Sassoon,4,134,9,96
Steve Rose,197,15407,249,4933
William Boyd,8,2143,17,341
Bob Stanley,19,3062,34,1182
Patric Baird,48,889,2,270
John Mitchell,44,854,0,231
Sam Richards &amp; Marc Rowlands,40,734,0,211
Ansel Mullins,1,663,1,15
Beatrice Woolf,19,14871,189,3097
Sara Khorshid,2,404,5,64
Guardian music,39,8717,94,1896
Damien Pearse,86,28053,433,8283
Ben Dyson,1,1751,7,158
Justice Malala,6,1423,12,313
Philippe Martin for the <a href="http://www.guardian.co.uk/guardian-professional" title="Guardian Professional Network">Guardian Professional Network</a>,5,24,0,146
Jane Clare Jones,3,1793,14,472
Heather Stewart,309,38736,511,14163
David Hopps,80,849,12,930
jamesk96,6,3,1,75
Sarah Hedley,2,12,0,42
Interviews by John Ashdown,1,5,0,8
Ciara Leeming,18,1643,16,527
Simon Trevethick,3,17,0,79
Greg Wood,309,788,10,2133
Siam Goorwich,1,7,0,2
Ed Howker,7,16873,99,4564
Interactive by Paddy Allen,1,767,12,119
Theresa Malone,10,2233,38,512
Amanda Shendruk. Picture,1,767,12,119
video research by Imogen Blake,1,767,12,119
Rosie Swash,40,11155,100,2637
Helen Clifton,32,4447,51,1254
John Robinson,121,360,0,1255
John Fordham &amp; Andrew Clements,4,50,0,28
Mark Redding,4,34,0,66
Daniel Greenberg,1,71,1,18
Rachel Cooke,70,10037,147,2829
Richard Williams at Camp Nou,1,126,3,52
Elizabeth Day,68,18697,226,3651
Nick Appleyard,12,31,0,80
Lizzie Crump,2,40,2,45
Paul Doyle,266,7055,90,8781
Daniel Taylor,331,57633,322,25085
Sachin Nakrani,100,10455,65,5035
Jon &amp; Mick/moderntoss.com,40,987,12,136
Evan Harris,3,155,3,384
Derek Malcolm,8,987,9,100
Zoe Wood,232,8096,203,8289
Dan Jarvis,2,110,2,98
Irel,244,10685,150,5398
Christine Cawley,1,173,2,93
Ruth Lister,3,239,3,148
Kate Ravilious,21,90,0,315
Elmore Leonard,1,26,0,6
Matteo Pericoli,1,26,0,6
Xan Brooks at Wimbledon,3,21,1,10
Jack Schofield,59,3317,166,4845
Imogen Tilden,23,1485,9,517
Anne Billson,17,2417,36,750
Josie Long,12,425,1,95
Fuel,6,142,0,41
Rebecca Roberts-Hughes,1,1,0,16
Mark Weisbrot,34,14964,238,2626
Michael Pidd,1,4,0,8
Louise Taylor at the Stadium of Light,26,665,2,822
Joanna Ruck,26,1239,38,689
