@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
8/1991,212,35,175,1,0.1659,0.8294,0.0048
9/1991,138,26,110,2,0.1885,0.7972,0.0145
10/1991,151,24,127,0,0.1590,0.8411,0.0000
11/1991,172,14,158,0,0.0814,0.9187,0.0000
12/1991,172,21,149,2,0.1221,0.8663,0.0117
1/1992,170,35,135,0,0.2059,0.7942,0.0000
2/1992,138,33,104,1,0.2392,0.7537,0.0073
3/1992,173,35,137,1,0.2024,0.7920,0.0058
4/1992,158,25,133,0,0.1583,0.8418,0.0000
5/1992,142,25,117,0,0.1761,0.8240,0.0000
6/1992,182,37,145,0,0.2033,0.7968,0.0000
7/1992,170,27,142,1,0.1589,0.8353,0.0059
8/1992,159,28,130,1,0.1762,0.8177,0.0063
9/1992,192,27,165,0,0.1407,0.8594,0.0000
10/1992,189,26,163,0,0.1376,0.8625,0.0000
11/1992,221,31,188,2,0.1403,0.8507,0.0091
12/1992,231,40,190,1,0.1732,0.8226,0.0044
1/1993,192,29,162,0,0.1519,0.8482,0.0000
2/1993,179,23,154,2,0.1285,0.8604,0.0112
3/1993,190,24,165,0,0.1270,0.8731,0.0000
4/1993,157,24,132,1,0.1529,0.8408,0.0064
5/1993,162,20,142,0,0.1235,0.8766,0.0000
6/1993,187,28,159,0,0.1498,0.8503,0.0000
7/1993,195,27,166,2,0.1385,0.8513,0.0103
8/1993,164,30,134,0,0.1830,0.8171,0.0000
9/1993,169,33,134,2,0.1953,0.7929,0.0119
10/1993,196,33,161,2,0.1684,0.8215,0.0103
11/1993,167,20,147,0,0.1198,0.8803,0.0000
12/1993,187,29,156,2,0.1551,0.8343,0.0107
1/1994,199,28,170,1,0.1408,0.8543,0.0051
2/1994,164,31,133,0,0.1891,0.8110,0.0000
3/1994,177,33,142,1,0.1875,0.8069,0.0057
4/1994,155,21,133,1,0.1355,0.8581,0.0065
5/1994,160,25,133,1,0.1573,0.8365,0.0063
6/1994,156,34,122,0,0.2180,0.7821,0.0000
7/1994,154,19,135,0,0.1234,0.8767,0.0000
8/1994,146,28,118,0,0.1918,0.8083,0.0000
9/1994,136,20,116,0,0.1471,0.8530,0.0000
10/1994,135,24,110,1,0.1778,0.8149,0.0075
11/1994,160,22,136,2,0.1375,0.8500,0.0125
12/1994,157,27,130,0,0.1720,0.8281,0.0000
1/1995,181,32,149,0,0.1768,0.8233,0.0000
2/1995,181,25,156,0,0.1382,0.8619,0.0000
3/1995,168,22,146,0,0.1310,0.8691,0.0000
4/1995,176,31,143,2,0.1762,0.8125,0.0114
5/1995,159,25,133,1,0.1573,0.8365,0.0063
6/1995,164,20,143,1,0.1220,0.8720,0.0061
7/1995,153,20,131,2,0.1308,0.8563,0.0131
